user_id,feature_name,first_used_date,times_used_30d
u_00001,dashboard,2025-06-20,1
u_00001,reports,2025-06-16,1
u_00001,integrations,2025-06-05,1
u_00002,dashboard,2025-12-13,9
u_00003,dashboard,2026-02-03,44
u_00003,integrations,2026-02-01,3
u_00004,dashboard,2026-05-16,13
u_00005,reports,2026-05-11,5
u_00005,automations,2026-05-26,6
u_00007,dashboard,2025-08-22,8
u_00007,reports,2025-08-31,35
u_00008,dashboard,2026-02-17,13
u_00009,dashboard,2025-12-19,10
u_00009,reports,2025-12-08,40
u_00009,integrations,2025-12-06,2
u_00009,api_access,2025-12-31,24
u_00011,dashboard,2025-06-01,9
u_00011,reports,2025-06-22,9
u_00011,api_access,2025-06-10,2
u_00012,dashboard,2025-09-24,19
u_00012,reports,2025-09-16,21
u_00012,integrations,2025-09-19,8
u_00012,automations,2025-09-15,5
u_00013,dashboard,2026-05-01,1
u_00015,dashboard,2026-05-21,33
u_00015,integrations,2026-05-23,6
u_00016,dashboard,2026-04-22,1
u_00017,dashboard,2026-03-02,2
u_00018,dashboard,2026-03-27,30
u_00019,dashboard,2026-05-07,43
u_00020,dashboard,2026-01-21,2
u_00021,dashboard,2026-05-24,2
u_00022,dashboard,2026-04-24,6
u_00022,integrations,2026-04-19,46
u_00024,dashboard,2026-03-13,3
u_00024,reports,2026-03-10,16
u_00026,dashboard,2026-05-05,3
u_00026,reports,2026-05-25,12
u_00027,dashboard,2026-02-23,5
u_00027,reports,2026-02-27,1
u_00027,integrations,2026-03-09,16
u_00028,dashboard,2026-01-22,2
u_00029,api_access,2026-05-25,21
u_00030,dashboard,2026-01-28,48
u_00031,dashboard,2026-05-13,38
u_00031,reports,2026-05-13,7
u_00031,integrations,2026-05-22,18
u_00031,automations,2026-05-08,6
u_00031,api_access,2026-05-22,15
u_00032,dashboard,2026-05-25,4
u_00033,dashboard,2025-06-08,35
u_00033,reports,2025-06-18,5
u_00033,automations,2025-06-11,5
u_00034,dashboard,2025-06-11,2
u_00035,dashboard,2025-10-26,1
u_00036,dashboard,2026-05-03,2
u_00036,reports,2026-04-19,2
u_00036,automations,2026-04-17,2
u_00038,dashboard,2026-01-13,1
u_00038,integrations,2025-12-16,2
u_00039,dashboard,2026-03-19,2
u_00039,integrations,2026-04-07,6
u_00040,dashboard,2026-05-16,2
u_00040,reports,2026-05-31,29
u_00043,reports,2025-07-13,1
u_00044,dashboard,2026-04-18,31
u_00044,integrations,2026-05-15,8
u_00045,dashboard,2026-01-09,1
u_00045,reports,2026-01-04,43
u_00045,automations,2026-01-13,1
u_00046,dashboard,2026-05-03,2
u_00046,reports,2026-04-29,1
u_00047,dashboard,2026-02-20,5
u_00047,reports,2026-03-11,5
u_00048,dashboard,2026-02-07,4
u_00048,reports,2026-03-07,1
u_00049,dashboard,2026-05-03,8
u_00049,reports,2026-05-15,20
u_00049,integrations,2026-05-12,7
u_00049,automations,2026-05-30,18
u_00050,dashboard,2025-06-10,1
u_00050,reports,2025-06-10,1
u_00051,dashboard,2025-11-18,23
