subscription_id,user_id,plan,start_date,end_date,mrr,payment_method
sub_00000,u_00003,basic,2026-01-19,,29.0,credit_card
sub_00001,u_00005,pro,2026-05-07,,71.1,paypal
sub_00002,u_00007,basic,2025-08-12,,23.2,credit_card
sub_00003,u_00008,basic,2026-01-18,,29.0,credit_card
sub_00004,u_00009,basic,2025-12-03,,29.0,credit_card
sub_00005,u_00010,pro,2026-05-28,,79.0,credit_card
sub_00006,u_00011,basic,2025-06-01,,29.0,bank_transfer
sub_00007,u_00012,pro,2025-09-13,,79.0,paypal
sub_00008,u_00022,pro,2026-04-11,,79.0,credit_card
sub_00009,u_00024,basic,2026-03-04,,29.0,credit_card
sub_00010,u_00026,pro,2026-04-29,,79.0,credit_card
sub_00011,u_00027,pro,2026-02-15,,79.0,paypal
sub_00012,u_00028,basic,2026-01-21,,23.2,paypal
sub_00013,u_00029,basic,2026-05-25,,29.0,paypal
sub_00014,u_00031,enterprise,2026-05-04,,224.1,credit_card
sub_00015,u_00032,pro,2026-05-22,,79.0,bank_transfer
sub_00016,u_00033,pro,2025-06-01,,71.1,bank_transfer
sub_00017,u_00034,basic,2025-06-01,,29.0,credit_card
sub_00018,u_00036,pro,2026-04-09,2026-05-24,63.2,paypal
sub_00019,u_00040,pro,2026-05-13,,79.0,credit_card
sub_00020,u_00044,basic,2026-04-18,,29.0,paypal
sub_00021,u_00045,basic,2025-12-24,,29.0,bank_transfer
sub_00022,u_00048,basic,2026-02-05,2026-03-04,26.1,bank_transfer
sub_00023,u_00049,enterprise,2026-05-02,,249.0,credit_card
sub_00024,u_00050,basic,2025-06-01,,26.1,credit_card
sub_00025,u_00052,pro,2025-06-01,,79.0,credit_card
sub_00026,u_00057,basic,2026-04-30,,23.2,paypal
sub_00027,u_00065,basic,2026-02-07,,23.2,bank_transfer
sub_00028,u_00066,basic,2026-05-09,,26.1,credit_card
sub_00029,u_00067,basic,2025-10-08,,26.1,credit_card
sub_00030,u_00069,pro,2025-06-01,,79.0,paypal
sub_00031,u_00070,pro,2025-10-28,,63.2,credit_card
sub_00032,u_00071,basic,2026-04-29,,29.0,credit_card
sub_00033,u_00072,basic,2026-05-31,,29.0,credit_card
sub_00034,u_00074,enterprise,2025-12-04,,249.0,paypal
sub_00035,u_00079,enterprise,2026-05-14,,249.0,credit_card
sub_00036,u_00082,basic,2026-04-03,,26.1,paypal
sub_00037,u_00085,basic,2026-04-04,,29.0,credit_card
sub_00038,u_00086,basic,2025-11-22,,29.0,paypal
sub_00039,u_00088,basic,2025-07-18,,29.0,credit_card
sub_00040,u_00093,basic,2026-02-01,,23.2,credit_card
sub_00041,u_00094,basic,2025-10-29,,29.0,credit_card
sub_00042,u_00097,basic,2026-03-11,,23.2,credit_card
sub_00043,u_00100,enterprise,2026-05-27,,249.0,credit_card
sub_00044,u_00101,basic,2026-01-04,2026-01-19,23.2,credit_card
sub_00045,u_00102,enterprise,2026-04-07,,249.0,credit_card
sub_00046,u_00104,basic,2025-06-19,2025-06-26,29.0,credit_card
sub_00047,u_00112,basic,2025-06-01,,29.0,credit_card
sub_00048,u_00117,basic,2026-05-01,2026-05-31,26.1,credit_card
sub_00049,u_00119,basic,2026-02-08,,29.0,credit_card
sub_00050,u_00122,pro,2026-04-06,,79.0,paypal
sub_00051,u_00123,basic,2026-05-15,,23.2,credit_card
sub_00052,u_00125,basic,2026-03-11,,29.0,paypal
sub_00053,u_00127,basic,2025-08-17,,29.0,paypal
sub_00054,u_00128,basic,2026-05-30,,29.0,credit_card
sub_00055,u_00129,basic,2026-02-16,,26.1,credit_card
sub_00056,u_00130,enterprise,2026-03-14,,249.0,paypal
sub_00057,u_00132,basic,2026-05-13,,23.2,credit_card
sub_00058,u_00137,basic,2025-12-06,,29.0,credit_card
sub_00059,u_00142,pro,2026-02-20,,63.2,paypal
sub_00060,u_00144,basic,2026-04-13,,29.0,credit_card
sub_00061,u_00145,basic,2026-05-26,,29.0,credit_card
sub_00062,u_00146,basic,2026-01-15,,26.1,paypal
sub_00063,u_00148,pro,2026-05-24,,71.1,bank_transfer
sub_00064,u_00150,pro,2025-06-18,,79.0,credit_card
sub_00065,u_00154,basic,2025-06-01,,23.2,credit_card
sub_00066,u_00158,pro,2026-04-22,,79.0,credit_card
sub_00067,u_00159,basic,2025-11-23,,23.2,credit_card
sub_00068,u_00161,basic,2026-01-06,,29.0,paypal
sub_00069,u_00164,pro,2026-05-18,,71.1,credit_card
sub_00070,u_00176,basic,2025-12-12,,29.0,credit_card
sub_00071,u_00178,basic,2025-06-01,,29.0,paypal
sub_00072,u_00179,basic,2026-05-10,,26.1,bank_transfer
sub_00073,u_00180,basic,2026-04-01,,29.0,credit_card
sub_00074,u_00184,basic,2026-04-18,,23.2,paypal
sub_00075,u_00186,basic,2025-09-26,,29.0,credit_card
sub_00076,u_00187,pro,2026-02-03,,79.0,credit_card
sub_00077,u_00190,basic,2026-05-17,,26.1,paypal
sub_00078,u_00193,pro,2026-01-06,,79.0,credit_card
sub_00079,u_00195,pro,2026-03-30,,71.1,credit_card
sub_00080,u_00196,basic,2025-11-24,,23.2,paypal
sub_00081,u_00197,basic,2025-07-04,,29.0,credit_card
sub_00082,u_00206,basic,2026-05-16,,23.2,credit_card
sub_00083,u_00209,basic,2026-05-06,,29.0,credit_card
sub_00084,u_00210,enterprise,2026-02-05,,199.2,paypal
sub_00085,u_00214,pro,2025-12-01,,71.1,credit_card
sub_00086,u_00215,basic,2026-04-22,,23.2,credit_card
sub_00087,u_00216,basic,2026-04-04,,29.0,credit_card
sub_00088,u_00220,basic,2025-12-26,,23.2,paypal
sub_00089,u_00221,basic,2026-01-29,,29.0,credit_card
sub_00090,u_00222,enterprise,2026-05-17,,224.1,paypal
sub_00091,u_00226,basic,2025-06-01,,29.0,credit_card
sub_00092,u_00227,basic,2026-03-20,,29.0,paypal
sub_00093,u_00232,pro,2026-01-26,,79.0,paypal
sub_00094,u_00234,basic,2026-04-30,,26.1,credit_card
sub_00095,u_00236,basic,2026-04-14,,29.0,credit_card
sub_00096,u_00238,basic,2026-01-01,,29.0,credit_card
sub_00097,u_00245,enterprise,2025-06-01,,224.1,credit_card
sub_00098,u_00247,basic,2025-06-01,,23.2,credit_card
sub_00099,u_00248,enterprise,2025-06-01,,249.0,paypal
sub_00100,u_00250,basic,2026-04-11,,26.1,credit_card
sub_00101,u_00254,pro,2026-05-04,,79.0,credit_card
sub_00102,u_00258,pro,2026-01-29,,63.2,credit_card
sub_00103,u_00260,basic,2026-01-13,,29.0,credit_card
sub_00104,u_00261,basic,2025-06-01,,29.0,paypal
sub_00105,u_00262,basic,2026-05-10,,29.0,bank_transfer
sub_00106,u_00263,pro,2026-02-14,,71.1,bank_transfer
sub_00107,u_00264,basic,2025-07-30,,29.0,paypal
sub_00108,u_00272,enterprise,2025-08-11,,249.0,credit_card
sub_00109,u_00274,pro,2026-02-16,,71.1,credit_card
sub_00110,u_00276,basic,2025-10-10,,29.0,paypal
sub_00111,u_00277,basic,2025-12-30,,23.2,paypal
sub_00112,u_00282,pro,2026-03-24,,79.0,paypal
sub_00113,u_00283,basic,2026-05-17,,29.0,credit_card
sub_00114,u_00288,basic,2026-04-12,,29.0,paypal
sub_00115,u_00293,basic,2026-03-27,,23.2,paypal
sub_00116,u_00295,enterprise,2026-02-13,,249.0,paypal
sub_00117,u_00296,pro,2025-10-30,,79.0,credit_card
sub_00118,u_00299,basic,2026-05-19,,29.0,credit_card
sub_00119,u_00300,pro,2026-05-24,,79.0,credit_card
sub_00120,u_00301,basic,2026-02-10,,26.1,credit_card
sub_00121,u_00303,enterprise,2026-01-04,,199.2,credit_card
sub_00122,u_00305,basic,2025-06-01,,23.2,credit_card
sub_00123,u_00306,pro,2026-02-15,,63.2,paypal
sub_00124,u_00308,pro,2025-10-13,,79.0,bank_transfer
sub_00125,u_00310,enterprise,2026-03-08,,249.0,credit_card
sub_00126,u_00312,enterprise,2026-05-28,,199.2,credit_card
sub_00127,u_00314,basic,2025-09-10,,29.0,credit_card
sub_00128,u_00318,basic,2026-05-07,,29.0,bank_transfer
sub_00129,u_00322,enterprise,2025-12-25,,249.0,bank_transfer
sub_00130,u_00329,pro,2026-04-20,,63.2,credit_card
sub_00131,u_00330,basic,2026-03-28,,29.0,credit_card
sub_00132,u_00333,basic,2026-05-14,,29.0,credit_card
sub_00133,u_00335,basic,2026-05-25,,23.2,paypal
sub_00134,u_00339,pro,2026-05-17,,63.2,paypal
sub_00135,u_00343,basic,2026-03-10,,29.0,credit_card
sub_00136,u_00344,pro,2026-03-18,,79.0,credit_card
sub_00137,u_00347,pro,2026-05-25,,79.0,credit_card
sub_00138,u_00351,basic,2025-08-22,,29.0,credit_card
sub_00139,u_00353,basic,2026-05-06,,29.0,paypal
sub_00140,u_00356,basic,2026-05-28,,29.0,paypal
sub_00141,u_00359,basic,2026-01-27,,26.1,credit_card
sub_00142,u_00360,pro,2026-03-21,,79.0,bank_transfer
sub_00143,u_00361,pro,2026-01-01,,63.2,paypal
sub_00144,u_00362,enterprise,2026-03-03,,249.0,bank_transfer
sub_00145,u_00363,pro,2026-02-06,,79.0,credit_card
sub_00146,u_00366,basic,2025-06-01,,23.2,credit_card
sub_00147,u_00368,basic,2026-04-30,,29.0,credit_card
sub_00148,u_00369,basic,2026-05-21,,29.0,credit_card
sub_00149,u_00371,pro,2026-05-29,,79.0,credit_card
sub_00150,u_00374,enterprise,2026-05-21,,224.1,paypal
sub_00151,u_00378,basic,2025-09-28,,29.0,credit_card
sub_00152,u_00379,basic,2026-04-13,,29.0,credit_card
sub_00153,u_00380,basic,2026-05-13,,29.0,credit_card
sub_00154,u_00381,basic,2025-12-09,,29.0,credit_card
sub_00155,u_00383,pro,2025-07-30,2025-08-06,63.2,credit_card
sub_00156,u_00384,pro,2025-11-19,,79.0,credit_card
