user_id,signup_date,signup_source,plan_type,country,industry,primary_platform,is_churned,churn_date
u_00000,2026-03-24,paid_facebook,free,DE,marketing,android,1,2026-03-31
u_00001,2025-06-01,organic,free,UK,technology,web,1,2025-07-15
u_00002,2025-11-21,organic,free,Other,technology,web,0,
u_00003,2026-01-19,paid_facebook,basic,US,technology,ios,0,
u_00004,2026-05-07,paid_google,free,IN,marketing,web,0,
u_00005,2026-05-07,paid_facebook,pro,CA,marketing,ios,0,
u_00006,2026-05-23,direct,free,BR,marketing,web,0,
u_00007,2025-08-12,organic,basic,UK,finance,ios,0,
u_00008,2026-01-18,paid_facebook,basic,DE,healthcare,web,0,
u_00009,2025-12-03,organic,basic,US,marketing,web,0,
u_00010,2026-05-28,paid_google,pro,UK,nonprofit,android,0,
u_00011,2025-06-01,organic,basic,FR,healthcare,web,0,
u_00012,2025-09-13,organic,pro,JP,consulting,ios,0,
u_00013,2026-04-27,organic,free,CA,nonprofit,ios,0,
u_00014,2026-05-02,organic,free,US,technology,web,0,
u_00015,2026-05-02,referral,free,BR,finance,ios,0,
u_00016,2026-04-09,paid_facebook,free,US,finance,web,1,2026-04-25
u_00017,2026-02-12,direct,free,US,finance,ios,0,
u_00018,2026-03-10,paid_google,free,DE,technology,ios,0,
u_00019,2026-04-11,organic,free,US,consulting,web,0,
u_00020,2026-01-14,organic,free,Other,technology,web,0,
u_00021,2026-05-10,organic,free,UK,other,ios,0,
u_00022,2026-04-11,organic,pro,UK,consulting,ios,0,
u_00023,2026-03-26,paid_facebook,free,DE,education,ios,0,
u_00024,2026-03-04,paid_google,basic,CA,technology,web,0,
u_00025,2025-10-20,paid_google,free,UK,healthcare,ios,1,2025-10-27
u_00026,2026-04-29,organic,pro,US,marketing,web,0,
u_00027,2026-02-15,organic,pro,AU,marketing,ios,0,
u_00028,2026-01-21,organic,basic,US,consulting,web,0,
u_00029,2026-05-25,organic,basic,US,finance,web,0,
u_00030,2026-01-15,referral,free,DE,finance,ios,0,
u_00031,2026-05-04,organic,enterprise,US,media,web,0,
u_00032,2026-05-22,paid_facebook,pro,Other,technology,android,0,
u_00033,2025-06-01,paid_google,pro,DE,education,ios,0,
u_00034,2025-06-01,organic,basic,Other,education,android,0,
u_00035,2025-10-03,referral,free,US,finance,web,0,
u_00036,2026-04-09,paid_google,pro,Other,consulting,web,1,2026-05-24
u_00037,2026-05-17,organic,free,US,nonprofit,ios,0,
u_00038,2025-12-15,referral,free,US,finance,web,1,2026-02-28
u_00039,2026-03-08,organic,free,US,finance,web,0,
u_00040,2026-05-13,organic,pro,UK,healthcare,ios,0,
u_00041,2026-02-21,referral,free,US,ecommerce,ios,1,2026-03-06
u_00042,2026-05-26,paid_facebook,free,UK,education,web,0,
u_00043,2025-06-16,organic,free,US,marketing,ios,0,
u_00044,2026-04-18,organic,basic,US,technology,web,0,
u_00045,2025-12-24,referral,basic,DE,nonprofit,ios,0,
u_00046,2026-04-07,organic,free,US,marketing,web,1,2026-04-14
u_00047,2026-02-14,organic,free,CA,education,web,0,
u_00048,2026-02-05,paid_google,basic,IN,consulting,ios,1,2026-03-04
u_00049,2026-05-02,direct,enterprise,JP,marketing,ios,0,
u_00050,2025-06-01,organic,basic,US,education,web,0,
u_00051,2025-10-26,referral,free,Other,technology,ios,0,
u_00052,2025-06-01,paid_google,pro,IN,other,web,0,
u_00053,2025-07-08,paid_google,free,Other,technology,android,0,
u_00054,2026-01-19,paid_facebook,free,US,finance,ios,0,
u_00055,2025-06-01,direct,free,CA,healthcare,ios,0,
u_00056,2026-05-18,organic,free,AU,consulting,web,1,2026-05-28
u_00057,2026-04-30,organic,basic,US,technology,web,0,
u_00058,2026-05-25,direct,free,IN,finance,web,0,
u_00059,2026-04-04,paid_facebook,free,AU,marketing,web,1,2026-05-17
u_00060,2026-03-21,paid_google,free,IN,marketing,web,1,2026-03-28
u_00061,2026-04-15,paid_google,free,US,consulting,web,0,
u_00062,2025-09-17,paid_facebook,free,DE,technology,ios,0,
u_00063,2026-03-28,referral,free,US,ecommerce,web,0,
u_00064,2026-04-13,direct,free,AU,consulting,android,1,2026-04-20
u_00065,2026-02-07,paid_google,basic,US,nonprofit,web,0,
u_00066,2026-05-09,organic,basic,US,education,android,0,
